Company Name,Title,Description,Location,Started On,Finished On
University of Maryland,Bike Program Analyst - Summer,"• Gather, maintain & update data on bike usage and other sustainable transportation services on campus. • Process data collected from ArcMap GIS to create visualizations & track reports regarding abandoned bicycles & improperly parked e-scooters to better plan transportation demand in those areas.","College Park, Maryland, United States",Jun 2022,Aug 2022
Freshworks,Data Analyst - Customer Experience,,"Chennai, Tamil Nadu, India",May 2019,May 2021
